	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
162	CHRISTOPHER ST	IRT	198196.0	164311.0	IRT	Christopher St - Sheridan Sq	323.0	323.0	133	Broadway - 7Av	M	1	Subway	40.733422	-74.00290600000001
163	BERGEN ST	IND	197552.0	124087.0	IND	Bergen St	236.0	236.0	F20	6th Av - Culver	Bk	F G	Subway	40.686145	-73.99086199999999
164	HOYT-SCHER	IND	193637.0	164818.0	IND	Hoyt - Schermerhorn Sts	175.0	175.0	A42	8th Av - Fulton St	Bk	A C G	Subway	40.688484	-73.985001
165	34 ST-HUDSON YD	IRT	193335.0	221450.0	IRT	34 St - 11 Av	471.0	471.0	726	Flushing	M	7	Subway	40.755882	-74.00191
166	14TH STREET	PTH	192970.0	177682.0	 	 									
167	110 ST	IRT	191114.0	165523.0	IRT	110 St	394.0	394.0	623	Lexington Av	M	6	Subway	40.79502	-73.94425
168	21 ST-QNSBRIDGE	IND	191105.0	129594.0	IND	21 St - Queensbridge	221.0	221.0	B04	63rd St	Q	F	Subway	40.754203000000004	-73.942836
169	7 AV	BMT	190768.0	179363.0	BMT	7 Av	41.0	41.0	D25	Broadway - Brighton	Bk	B Q	Subway	40.67705	-73.972367
170	181 ST	IND	190366.0	141289.0	IND	181 St	146.0	146.0	A06	8th Av - Fulton St	M	A	Subway	40.851695	-73.937969
171	LACKAWANNA	PTH	190291.0	248675.0	 	 									
172	FORDHAM RD	IRT	190022.0	37581.0	IRT	Fordham Rd	382.0	382.0	407	Jerome Av	Bx	4	Elevated	40.862803	-73.901034
173	NEWKIRK PLAZA	BMT	187724.0	175741.0	BMT	Newkirk Plaza	47.0	47.0	D31	Broadway - Brighton	Bk	B Q	Open Cut	40.635082000000004	-73.962793
174	RECTOR ST	IRT	184047.0	123155.0	IRT	Rector St	329.0	329.0	139	Broadway - 7Av	M	1	Subway	40.707513	-74.01378299999999
175	NEVINS ST	IRT	182883.0	175189.0	IRT	Nevins St	337.0	337.0	234	Eastern Pky	Bk	2 3 4 5	Subway	40.688246	-73.980492
176	INWOOD-207 ST	IND	182227.0	78980.0	IND	Inwood - 207 St	143.0	143.0	A02	8th Av - Fulton St	M	A	Subway	40.868072	-73.919899
177	THIRTY ST	PTH	182054.0	243245.0	 	 									
178	AVENUE U	BMT	180262.0	64055.0	BMT	Avenue U	52.0	52.0	D37	Broadway - Brighton	Bk	B Q	Open Cut	40.5993	-73.955929
